																															Issued For Information	Issued For Information	Issued For Information	Issued For Information	Issued For Information	Issued For Information 	Issued For Information	Issued For Information	Issued For Information	Issued For Information	Issued For Information	Issued For Information	Issued For Information	Issued For Approval	Issued For Information	Issued For Information	Issued For Information	Issued For Information	Issued For Information	Issued For Information	Early Works
DELETE	NUMBER - Project	NUMBER - Originator	NUMBER - Volume OR System	NUMBER - Type	NUMBER - Discipline	NUMBER - Series	NUMBER - Level	NUMBER - Zone or Sequence	DRAWING TITLE - Title 1	DRAWING TITLE - Title 2 (Category)	Intentionally Empty?	DRAWING TITLE - Title 3	REVIT SHEET NUMBER	DRAWING NUMBER	DRAWING TITLE	OWNERSHIP	STUDIO RESPONSIBILITY	MODEL LOCATION	REVISION OFFSET	LETTER SHIFT	CURRENT ACONEX REVISION	TO BE ISSUED REVISION	SCALE	PRINT	TYPE	DISCIPLINE	PHASE	LEVEL	ORIGINATOR	SECTION	200409	200403	200402.F	200402.B	200401	200327	200320	200318	200306	200305	200303	200228	200221	200219	200214	200206	200203	200131	200124	200123	200122
	SFS	COX	01	DR	AR	01	XX	~01	ARCHITECTURAL SERVICES	DRAWING INDEX		-	AR01XX01	SFS-COX-01-DR-AR01XX01	DRAWING INDEX		SYDNEY	ARCHITECTURE	1		1	2	-	A0	Register	Architectural	Design Development	XX - Level NA	COX Architects	01-99 - Default Sequence							X	X							X						
	SFS	COX	00	DR	QA	00	XX	~00	ARCHITECTURAL SERVICES	PROJECT TITLE BLOCK 		A0	QA00XX00	SFS-COX-00-DR-QA00XX00	PROJECT TITLE BLOCK  - A0		SYDNEY	ARCHITECTURE			0	1	-	A0	Drawing	Architectural	Design Development	XX - Level NA	COX Architects	01-99 - Default Sequence																					
	SFS	COX	00	DR	QA	00	XX	~01	ARCHITECTURAL SERVICES	PROJECT TITLE BLOCK 		A3	QA00XX01	SFS-COX-00-DR-QA00XX01	PROJECT TITLE BLOCK  - A3		SYDNEY	ARCHITECTURE			0	1	-	A3	Drawing	Architectural	Design Development	XX - Level NA	COX Architects	01-99 - Default Sequence																					
	SFS	COX	01	DR	AR	02	XX	~01	ARCHITECTURAL SERVICES	STANDARD NOTES SYMBOLS & LEGEND		-	AR02XX01	SFS-COX-01-DR-AR02XX01	STANDARD NOTES SYMBOLS & LEGEND		SYDNEY	ARCHITECTURE			0	1	-	A0	Register	Architectural	Design Development	XX - Level NA	COX Architects	01-99 - Default Sequence															X						
	SFS	COX	01	DR	AR	03	XX	~01	ARCHITECTURAL SERVICES	KEY PLAN		-	AR03XX01	SFS-COX-01-DR-AR03XX01	KEY PLAN		SYDNEY	ARCHITECTURE			1	2	500	A0	2D Drawing	Architectural	Design Development	XX - Level NA	COX Architects	01-99 - Default Sequence															X						
	SFS	COX	01	DR	AR	03	XX	~02	ARCHITECTURAL SERVICES	KEY PLAN		ZONE SETOUT PLAN	AR03XX02	SFS-COX-01-DR-AR03XX02	KEY PLAN - ZONE SETOUT PLAN		SYDNEY	ARCHITECTURE			0	1	500	A0	2D Drawing	Architectural	Design Development	XX - Level NA	COX Architects	01-99 - Default Sequence									X												
	SFS	COX	01	DR	AR	03	XX	~03	ARCHITECTURAL SERVICES	KEY PLAN		SECTOR SETOUT PLAN	AR03XX03	SFS-COX-01-DR-AR03XX03	KEY PLAN - SECTOR SETOUT PLAN		SYDNEY	ARCHITECTURE			0	1	500	A0	2D Drawing	Architectural	Design Development	XX - Level NA	COX Architects	01-99 - Default Sequence									X												
	SFS	COX	01	DR	AR	03	XX	~04	ARCHITECTURAL SERVICES	KEY PLAN		QUADRANT SETOUT PLAN	AR03XX04	SFS-COX-01-DR-AR03XX04	KEY PLAN - QUADRANT SETOUT PLAN		SYDNEY	ARCHITECTURE			0	1	500	A0	2D Drawing	Architectural	Design Development	XX - Level NA	COX Architects	01-99 - Default Sequence		X																			
	SFS	COX	01	DR	AR	04	00	00	ARCHITECTURAL SERVICES	GRID SETOUT PLAN		-	AR040000	SFS-COX-01-DR-AR040000	GRID SETOUT PLAN		SYDNEY	ARCHITECTURE			2	3	500	A0	2D Drawing	Architectural	Design Development	00 - Datum	COX Architects	00 - Whole Site										X											X
