DELETE	NUMBER - Project	NUMBER - Originator	NUMBER - Volume OR System	NUMBER - Type	NUMBER - Discipline	NUMBER - Series	NUMBER - Level	NUMBER - Zone or Sequence	DRAWING TITLE - Title 1	DRAWING TITLE - Title 2 (Category)		DRAWING TITLE - Title 3	REVIT SHEET NUMBER	DRAWING NUMBER	DRAWING TITLE	OWNERSHIP	STUDIO RESPONSIBILITY	MODEL LOCATION	REVISION OFFSET	CURRENT ACONEX REVISION	TO BE ISSUED REVISION	SCALE	PRINT	TYPE	DISCIPLINE	PHASE	LEVEL	ORIGINATOR	SECTION	200303	200228	200221	200219	200214	200206	200203	200131	200124	200123	200122
	SFS	COX	01	DR	AR	01	00	~01	ARCHITECTURAL SERVICES	COVER SHEET AND DRAWING INDEX		-	AR010001	SFS-COX-01-DR-AR010001	COVER SHEET AND DRAWING INDEX		SYDNEY	ARCHITECTURE		1	2	-	A0	Register	Architectural	Design Development	00 - Datum	COX Architects	01-99 - Default Sequence					X						
	SFS	COX	01	DR	AR	02	00	~01	ARCHITECTURAL SERVICES	STANDARD NOTES SYMBOLS & LEGEND		-	AR020001	SFS-COX-01-DR-AR020001	STANDARD NOTES SYMBOLS & LEGEND		SYDNEY	ARCHITECTURE		1	2	-	A0	Register	Architectural	Design Development	00 - Datum	COX Architects	01-99 - Default Sequence					X						
	SFS	COX	01	DR	AR	02	00	~02	ARCHITECTURAL SERVICES	STANDARD NOTES SYMBOLS & LEGEND		ZONE SETOUT	AR020002	SFS-COX-01-DR-AR020002	STANDARD NOTES SYMBOLS & LEGEND - ZONE SETOUT		SYDNEY	ARCHITECTURE		0	1	500	A0	2D Drawing	Architectural	Design Development	00 - Datum	COX Architects	01-99 - Default Sequence											
	SFS	COX	01	DR	AR	02	00	~03	ARCHITECTURAL SERVICES	STANDARD NOTES SYMBOLS & LEGEND		SECTOR SETOUT	AR020003	SFS-COX-01-DR-AR020003	STANDARD NOTES SYMBOLS & LEGEND - SECTOR SETOUT		SYDNEY	ARCHITECTURE		0	1	500	A0	2D Drawing	Architectural	Design Development	00 - Datum	COX Architects	01-99 - Default Sequence											
	SFS	COX	01	DR	AR	03	XX	~01	ARCHITECTURAL SERVICES	KEY PLAN		-	AR03XX01	SFS-COX-01-DR-AR03XX01	KEY PLAN		SYDNEY	ARCHITECTURE		1	2	500	A0	2D Drawing	Architectural	Design Development	XX - Level NA	COX Architects	01-99 - Default Sequence					X						
	SFS	COX	01	DR	AR	04	00	00	ARCHITECTURAL SERVICES	GRID SETOUT PLAN		-	AR040000	SFS-COX-01-DR-AR040000	GRID SETOUT PLAN		SYDNEY	ARCHITECTURE		0	1	500	A0	2D Drawing	Architectural	Design Development	00 - Datum	COX Architects	00 - Whole Site											X
	SFS	COX	01	DR	AR	10	00	~06	ARCHITECTURAL SERVICES	SITE PLAN		-	AR100006	SFS-COX-01-DR-AR100006	SITE PLAN		SYDNEY	ARCHITECTURE		0	1	500	A0	2D Drawing	Architectural	Design Development	00 - Datum	COX Architects	01-99 - Default Sequence											X
	SFS	COX	01	DR	AR	10	00	~04	ARCHITECTURAL SERVICES	SITE PLAN		ACCESS	AR100004	SFS-COX-01-DR-AR100004	SITE PLAN - ACCESS		SYDNEY	ARCHITECTURE		1	2	500	A0	2D Drawing	Architectural	Design Development	00 - Datum	COX Architects	01-99 - Default Sequence					X						
	SFS	COX	01	DR	AR	10	00	~01	ARCHITECTURAL SERVICES	SITE PLAN		EXISTING PRECINCT	AR100001	SFS-COX-01-DR-AR100001	SITE PLAN - EXISTING PRECINCT		SYDNEY	ARCHITECTURE		1	2	500	A0	2D Drawing	Architectural	Design Development	00 - Datum	COX Architects	01-99 - Default Sequence					X						
	SFS	COX	01	DR	AR	10	00	~05	ARCHITECTURAL SERVICES	SITE PLAN		EXISTING SERVICES	AR100005	SFS-COX-01-DR-AR100005	SITE PLAN - EXISTING SERVICES		SYDNEY	ARCHITECTURE		1	2	500	A0	2D Drawing	Architectural	Design Development	00 - Datum	COX Architects	01-99 - Default Sequence					X						
